"LabID","Date","Collar","AnimalID","DeviceID","Sex","Time","Lat","Long","Location","Age","Temp","Eartag1","Eartag2","Type","Comments","Capture Notes","Fate","Cause","CollarType"
140061.00,2/22/2014 0:00:00,150.04,"140040",34903.00,"Female",12/30/1899 10:23:00,46.43,-113.93,"Burnt Fork",8.00,103.60,2024.00,2025.00,"Hobbled",,"Darted but did not go down.  Dart did not fire, so was netgunned.  Reversal administered anyway.","Alive - OffAir",,"IridiumTrack M 3D"
140041.00,2/22/2014 0:00:00,150.05,"140050",34904.00,"Female",12/30/1899 13:51:00,46.51,-113.99,"Iron Cap",8.00,101.80,1707.00,1708.00,"Hobbled","No drop",,"Alive - OnAir",,"IridiumTrack M 3D"
140039.00,2/21/2014 0:00:00,150.06,"140060",34905.00,"Female",12/30/1899 13:16:00,46.71,-114.01,"Sapphire Ranch",3.00,104.30,1703.00,1704.00,"Darted",,,"Alive - OffAir",,"IridiumTrack M 3D"
140037.00,2/21/2014 0:00:00,150.07,"140070",34906.00,"Female",12/30/1899 15:00:00,46.70,-114.09,"Ski Hill",10.00,103.90,2148.00,2149.00,"Darted",,"Processed by Quicksilver","Alive - OffAir",,"IridiumTrack M 3D"
140028.00,2/20/2014 0:00:00,150.10,"140100",34907.00,"Female",12/30/1899 14:37:00,46.44,-113.94,"Burnt Fork",9.00,101.70,2131.00,2130.00,"Hobbled","Early drop",,"Unknown",,"IridiumTrack M 3D"
140036.00,2/22/2014 0:00:00,150.12,"140120",34908.00,"Female",12/30/1899 9:10:00,46.43,-113.93,"Burnt Fork",8.00,102.10,2146.00,2147.00,"Darted","Collar malfunction",,"Unknown",,"IridiumTrack M 3D"
140015.00,2/22/2014 0:00:00,150.29,"140290",34909.00,"Female",12/30/1899 13:15:00,46.52,-113.99,"Iron Cap",8.00,100.70,2006.00,2007.00,"Hobbled",,,"Alive - OffAir",,"IridiumTrack M 3D"
140068.00,2/24/2014 0:00:00,150.30,"140300",34910.00,"Female",12/30/1899 14:00:00,46.80,-114.00,"Miller Creek",6.00,101.50,2039.00,2040.00,"Hobbled",,,"Alive - OffAir",,"IridiumTrack M 3D"
140032.00,2/20/2014 0:00:00,150.32,"140320",34911.00,"Female",12/30/1899 15:37:00,46.43,-113.94,"Burnt Fork",7.00,106.80,2138.00,2139.00,"Hobbled",,"6cc Banamine","Alive - OffAir",,"IridiumTrack M 3D"
140072.00,2/24/2014 0:00:00,150.34,"140340",34912.00,"Female",12/30/1899 13:37:00,46.80,-114.01,"Miller Creek",7.00,102.00,2045.00,2046.00,"Hobbled",,,"Alive - OffAir",,"IridiumTrack M 3D"
